CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
69,Male,19,48,59,1,-1.2245258992664954,-0.5346911087672347
70,Female,32,48,47,1,-0.2365053218374047,-0.48897258988479664
71,Male,70,49,55,0,1.4687349698539167,-0.3803806365962147
72,Female,47,49,42,0,0.6591612965570254,-0.41106836544768377
73,Female,60,50,49,0,1.124449286842701,-0.35508821403102553
74,Female,60,50,56,0,0.9325389302223268,-0.36535360327729255
75,Male,59,54,47,0,1.1212539036591522,-0.20181904944916768
76,Male,26,54,54,1,-0.7435823009222305,-0.2834677762813845
77,Female,45,54,53,0,0.2470331949534687,-0.24090179470537526
78,Male,40,54,48,1,0.13063840778345318,-0.24438503102517692
79,Female,23,54,52,1,-0.8408349384557219,-0.28702420225130365
80,Female,49,54,42,0,0.7513855031617114,-0.21611794297896172
81,Male,57,54,51,0,0.9102013974022541,-0.21201124904531723
82,Male,38,54,55,1,-0.16266139416789116,-0.2589766831554409
83,Male,67,54,41,0,1.6913062763719255,-0.175715092844951
84,Female,46,54,44,0,0.544469804702292,-0.22554030566103347
85,Female,21,54,57,1,-1.0793032099441022,-0.2986828860254913
86,Male,48,54,46,0,0.5910277195702982,-0.2241470111331128
87,Female,55,57,58,0,0.6114024522151392,-0.11222840542474623
88,Female,22,57,55,1,-0.9792761000514235,-0.17921229047658155
89,Female,34,58,60,1,-0.509851301968269,-0.12246230214584554
90,Female,50,58,46,0,0.6850849739202411,-0.06732142058133586
91,Female,68,59,55,0,1.3490150470703781,-0.0034585803107615503
92,Male,18,59,41,1,-0.8019003729631297,-0.09108437391815141
93,Male,48,60,49,0,0.49778213740431104,0.00020252783444277237
94,Female,40,60,40,1,0.3389662431637682,-0.003904166099201735
95,Female,32,60,42,1,-0.12142306862307675,-0.024142185991265854
96,Male,24,60,52,1,-0.8011385022617777,-0.05611207930763514
97,Female,47,60,47,0,0.50191894520179,0.0009723647485205867
98,Female,27,60,50,1,-0.5942228038023585,-0.04668971662556342
99,Male,48,61,42,0,0.6878594462794284,0.0485927489976548
100,Male,20,61,49,1,-0.9235031449745291,-0.022240320624569605
101,Female,23,62,41,1,-0.5539259028714745,0.034105779042676
102,Female,49,62,48,0,0.5722265298107646,0.0800818072883694
103,Male,67,62,59,0,1.1831581202431947,0.1028868472859224
104,Male,26,62,55,1,-0.7856624481157671,0.020064394876137388
105,Male,49,62,56,0,0.3529004079589085,0.06834993386406424
106,Female,21,62,42,1,-0.6827311134339267,0.028313031980640894
107,Female,66,63,50,0,1.3773722369157908,0.15204690536321225
108,Male,54,63,46,0,0.8786986258558974,0.13195526477138309
109,Male,68,63,43,0,1.670672038867135,0.16663855749347622
110,Male,66,63,48,0,1.4322037673787549,0.15497987371928854
111,Male,65,63,52,0,1.2718459837873415,0.14695080556513748
112,Female,19,63,54,1,-1.1149427892879378,0.044513790877131185
113,Female,38,64,42,1,0.17541307638880657,0.14133593032850505
114,Male,19,64,46,1,-0.8974497151813385,0.09437049621838137
115,Female,18,65,48,1,-1.0048090160550447,0.12739922833725162
116,Female,19,65,50,1,-1.0089458238525235,0.1266293914231738
117,Female,63,65,43,0,1.4135323300491958,0.23207256411737387
118,Female,49,65,59,0,0.2651539690286919,0.17832497708078485
119,Female,51,67,43,0,0.8015295625728606,0.2823646506472821
120,Female,50,67,57,0,0.3670141266666273,0.2596707407127496
121,Male,27,67,56,1,-0.7715487294080484,0.21138520172482275
122,Female,38,67,40,1,0.2247454636160001,0.25864339443541634
123,Female,40,69,58,1,-0.17101496071021954,0.3128226059486167
124,Male,39,69,91,3,-1.126429936014611,0.2622654966313594
125,Female,23,70,29,1,-0.23960110205574506,0.3567022445146938
126,Female,31,70,77,3,-1.1500000518430007,0.3036160555048506
127,Male,43,71,35,2,0.6079657121198084,0.4292908002033795
128,Male,40,71,95,3,-1.1890643697655676,0.33481235519509533
129,Male,59,71,11,2,2.0770596403231387,0.49909652354827067
130,Male,38,71,75,3,-0.7421385104668976,0.3598157758718613
131,Male,47,71,9,2,1.5235544988002812,0.47607191460036524
132,Male,39,71,75,3,-0.6914437878014125,0.3619789073138598
133,Female,25,72,34,1,-0.2789565783726986,0.4299457503423901
134,Female,31,72,71,3,-0.9891715559446224,0.3886646244069695
135,Male,20,73,5,2,0.2607939522675973,0.4997829662124489
136,Female,29,73,88,3,-1.5584620579560435,0.3975329624132691
137,Female,44,73,7,2,1.4226357657762763,0.5487651524643361
138,Male,32,73,73,3,-0.995141411487358,0.4260196194098367
139,Male,19,74,10,1,0.07118735569944527,0.5284122457972047
140,Female,35,74,72,3,-0.8174745260046774,0.4721003298308154
141,Female,57,75,5,2,2.132832595400033,0.6560684934002826
142,Male,32,75,93,3,-1.547122811607512,0.47293959968296384
143,Female,28,76,40,1,-0.29869919274616263,0.5801355672679366
144,Female,32,76,87,3,-1.3844612679638766,0.5198633366681377
145,Male,25,77,12,2,0.31502501799362154,0.6528325618439543
146,Male,28,77,97,3,-1.863230858685894,0.5346708010367074
147,Male,48,77,36,2,0.823025273744211,0.6673889647370038
148,Female,32,77,74,3,-1.0298893676998673,0.5770524628995786
149,Female,34,78,22,2,0.49528682192291046,0.6957607349585042
150,Male,34,78,90,3,-1.3689852138178662,0.5960398108519103
151,Male,43,78,17,2,1.088618152069687,0.7225613388266812
152,Male,39,78,88,3,-1.0606800700274766,0.6097884364179789
153,Female,44,78,20,2,1.0570655790407257,0.7203250177345653
154,Female,38,78,76,3,-0.7823856099151775,0.6252231151124382
155,Female,47,78,16,2,1.3188128079631092,0.7326803487727133
156,Female,27,78,89,3,-1.69643250724478,0.582364374935959
157,Male,37,78,1,2,1.2231020597804882,0.7330462970233007
158,Female,30,78,78,3,-1.2427749217020225,0.6049850952203741
159,Male,34,78,1,2,1.071017891784033,0.7265569026973053
160,Female,30,78,73,3,-1.1056960955446125,0.6123175161105648
161,Female,56,79,35,0,1.25233272480906,0.7624101642849198
162,Female,29,79,83,3,-1.4323815182701747,0.6336143748051299
163,Male,19,81,5,2,0.19543484764005747,0.8026184901060105
164,Female,31,81,93,3,-1.6088158207445382,0.6995254597426354
165,Male,50,85,26,2,1.1839079894279465,0.9913787247369422
166,Female,36,85,75,3,-0.8691906242314636,0.8892371598250944
167,Male,42,86,20,2,0.9410117517477008,1.0209974101861283
168,Female,33,86,95,3,-1.5714231446028162,0.8915429138552811
169,Female,36,87,27,2,0.4431000113891591,1.0358780642048153
170,Male,32,87,63,3,-0.7466464276061336,0.9744321080274483
171,Male,40,87,13,2,1.0296996152918478,1.0650613684653432
172,Male,28,87,75,3,-1.2784145010458583,0.9481817721229966
173,Male,36,87,10,2,0.9091680203243534,1.0608082952314637
174,Male,36,87,92,3,-1.3389247286571717,0.9405565926323358
175,Female,52,88,13,2,1.6362032395324124,1.1291437776862698
176,Female,30,88,86,3,-1.480431521006447,0.9745015409655189
177,Male,58,88,15,2,1.885540045062359,1.1391895979821847
178,Male,27,88,69,3,-1.1664476800677082,0.992942377666172
179,Male,59,93,14,2,1.954485294233042,1.3334433731869464
180,Male,35,93,90,3,-1.3457862073312337,1.170075421048084
181,Female,37,97,32,2,0.3383854304446658,1.411957093926073
182,Female,32,97,86,3,-1.3955395053827884,1.321951291102021
183,Male,46,98,15,2,1.2588728956239692,1.4944803398476532
184,Female,29,98,88,3,-1.6042882515874646,1.3506537603368942
185,Female,41,99,39,2,0.34558786899571853,1.48659389428169
186,Male,30,99,97,3,-1.8021684637505744,1.3777433660934943
187,Female,54,101,24,2,1.4121896466287416,1.6129615295321325
188,Male,28,101,68,3,-1.11216681285908,1.4921948082064938
189,Female,41,103,17,2,0.9414025131072955,1.6713558738663092
190,Female,36,103,85,3,-1.176343135960907,1.5608192925497228
191,Female,34,103,23,2,0.4220448630600075,1.647415048704091
192,Female,32,103,69,3,-0.9404697829191352,1.5756305136303392
193,Male,33,113,8,2,0.7642561414141843,2.048497499102115
194,Female,38,113,91,3,-1.2577787594713972,1.9375949695349413
195,Female,47,120,16,2,1.241824802662322,2.333923289284403
196,Female,35,120,79,3,-1.0937050789068663,2.215577208764018
197,Female,45,126,28,2,0.8004478880820264,2.5407482077656183
198,Male,32,126,74,3,-1.1197087072174525,2.4451692268298837
199,Male,32,137,18,2,0.3954106205477147,2.946665491886415
200,Male,30,137,83,3,-1.4880035648295862,2.8470177574299385
